S. No.,Product Name,Note,Quantity,Cost,Link
1,ESP32 S3 N1R8,,1,INR1249,https://robocraze.com/products/7semi-esp32-s3-dev-boardc-1-n8r8-wifi-bluetooth-dual-usb-c-rgb-led
2,TPS61023 ,,1,INR109,https://robocraze.com/products/tps61023-3-7a-5v-output-mini-boost-converter-breakout-board-7semi
3,TP4056,,1,INR19,https://robocraze.com/products/tp4056-battery-charger-c-type-module-with-protection-1
4,LiPo Battery,,1,INR102,https://robocraze.com/products/witty-fox-160mah-rechargeable-3-7v-lipo-battery
5,Slide Switch,,1,INR16,https://robocraze.com/products/slide-switch-3-pin-2-way-spdt
6,Tactile Button,6x6mm,1,INR29,https://robocraze.com/products/4-pins-dip-momentary-square-tactile-push-button-switch-10-pieces-6x6x5mm
7,GC9A01 TFT Screen,,1,INR422,https://www.xcluma.com/1-28-inch-round-screen-tft-module-240x240-hd-ips-full
8,ESP32 Cam Module,GC2145 Sensor,1,INR699,https://quartzcomponents.com/products/esp32-camera-development-board-wifi-bluetooth-with-ov2640-camera-module
9,ESP32 Cam MB,,1,INR82,https://quartzcomponents.com/products/esp32-cam-mb-micro-usb-programmer-module-for-esp32-cam-development-board
10,SD Card,64GB,1,INR1605,https://quartzcomponents.com/products/sandisk-ultra-64gb-microsdxc-class-10-memory-card-140mb-s
,,,,,
,,Total:,10,INR4332,
,,,,~45USD,
